channel,band,A+P+,A+P-,N,A+P+_minus_N,A+P+_minus_A+P-
C3,alpha,0.23235846,0.2424349,0.24192491,-0.009566456,-0.010076448
C3,beta,0.23137191,0.23310848,0.24505208,-0.013680175,-0.0017365664
C3,delta,0.30315202,0.28075787,0.2883147,0.014837325,0.02239415
C3,gamma,0.23962323,0.25000262,0.2672164,-0.02759318,-0.010379389
C3,theta,0.21181165,0.19642675,0.1872198,0.024591848,0.015384898
C4,alpha,0.24254471,0.2585543,0.2632056,-0.020660877,-0.016009599
C4,beta,0.2303878,0.23921755,0.24151494,-0.011127129,-0.008829743
C4,delta,0.24256442,0.22690067,0.2294911,0.013073325,0.015663758
C4,gamma,0.30624264,0.30118403,0.31622696,-0.009984314,0.0050586164
C4,theta,0.24569196,0.25123537,0.22165543,0.024036527,-0.005543411
Cz,alpha,0.31974727,0.31758657,0.32301506,-0.0032677948,0.0021606982
Cz,beta,0.31929827,0.32082713,0.327808,-0.008509725,-0.0015288591
Cz,delta,0.22683048,0.21256857,0.21435468,0.0124758035,0.014261916
Cz,gamma,0.2338808,0.24844861,0.25098485,-0.017104045,-0.014567807
Cz,theta,0.23373918,0.23551343,0.22703677,0.006702408,-0.0017742515
F3,alpha,0.2603883,0.27637216,0.2720453,-0.011657,-0.01598385
F3,beta,0.19580361,0.19556098,0.21081345,-0.015009835,0.00024263561
F3,delta,0.28828382,0.26823375,0.25614765,0.032136172,0.020050079
F3,gamma,0.16844375,0.1697647,0.19367868,-0.025234923,-0.0013209432
F3,theta,0.23231618,0.2071792,0.20044051,0.03187567,0.025136977
F4,alpha,0.28449887,0.3087804,0.30219615,-0.017697275,-0.024281532
F4,beta,0.21755645,0.2221769,0.23461042,-0.017053977,-0.0046204478
F4,delta,0.24096662,0.22067347,0.2133599,0.02760671,0.020293146
F4,gamma,0.20430313,0.21319084,0.2357368,-0.03143367,-0.008887708
F4,theta,0.25048208,0.22745383,0.22292389,0.027558193,0.023028255
F7,alpha,0.3817001,0.3854454,0.3838485,-0.0021483898,-0.0037452877
F7,beta,0.42062053,0.44048238,0.43900654,-0.018386006,-0.019861847
F7,delta,0.31792685,0.30775112,0.313428,0.0044988394,0.010175735
F7,gamma,0.27097097,0.28542766,0.31236225,-0.041391283,-0.014456689
F7,theta,0.5454073,0.54163074,0.53319055,0.012216747,0.0037765503
F8,alpha,0.24535108,0.25909716,0.25666454,-0.011313468,-0.013746083
F8,beta,0.39346045,0.41402322,0.40787122,-0.014410764,-0.020562768
F8,delta,0.29090217,0.2838436,0.29000133,0.0009008348,0.007058561
F8,gamma,0.23454233,0.22819217,0.24238367,-0.007841349,0.0063501596
F8,theta,0.27616897,0.26436397,0.26219165,0.013977319,0.011804998
Fp1,alpha,0.30758464,0.33207795,0.3201745,-0.012589842,-0.024493307
Fp1,beta,0.26417992,0.28954118,0.2792125,-0.015032589,-0.02536127
Fp1,delta,0.2755219,0.2518398,0.2620509,0.013471007,0.023682117
Fp1,gamma,0.26264435,0.2763036,0.27928546,-0.01664111,-0.013659239
Fp1,theta,0.18901882,0.18682481,0.17870599,0.010312825,0.0021940023
Fp2,alpha,0.3254957,0.36843464,0.34978163,-0.024285942,-0.042938948
Fp2,beta,0.30970743,0.32562402,0.32063523,-0.010927796,-0.015916586
Fp2,delta,0.25948706,0.24094121,0.24773654,0.011750519,0.018545851
Fp2,gamma,0.2618763,0.2524526,0.25349197,0.008384347,0.009423703
Fp2,theta,0.21720697,0.21311434,0.20439343,0.012813538,0.0040926337
Fz,alpha,0.27718082,0.29875264,0.3041529,-0.026972085,-0.021571815
Fz,beta,0.29608202,0.2928585,0.299466,-0.003383994,0.0032235086
Fz,delta,0.26201925,0.23222779,0.22619946,0.035819784,0.02979146
Fz,gamma,0.23864248,0.23967424,0.24319395,-0.0045514703,-0.0010317564
Fz,theta,0.2687891,0.23078561,0.24745311,0.021336004,0.038003504
O1,alpha,0.3684405,0.38841513,0.39304247,-0.024601966,-0.01997462
O1,beta,0.27792144,0.2682782,0.26996398,0.0079574585,0.009643227
O1,delta,0.24319707,0.21954952,0.22711544,0.016081631,0.023647547
O1,gamma,0.44052514,0.41408384,0.42995042,0.010574728,0.026441306
O1,theta,0.22456694,0.22002062,0.2144695,0.010097429,0.0045463145
O2,alpha,0.35854584,0.404296,0.39486572,-0.03631988,-0.04575017
O2,beta,0.31399918,0.30864024,0.3158467,-0.0018475354,0.0053589344
O2,delta,0.505133,0.44852027,0.49447966,0.010653317,0.0566127
O2,gamma,0.26914275,0.26093632,0.27139425,-0.0022515059,0.008206427
O2,theta,0.29876062,0.27756986,0.28556702,0.013193607,0.021190763
P3,alpha,0.29689205,0.31019005,0.31843147,-0.02153942,-0.013298005
P3,beta,0.23392807,0.23879774,0.2263154,0.0076126754,-0.0048696697
P3,delta,0.19847384,0.18168406,0.18915018,0.009323657,0.016789779
P3,gamma,0.23913117,0.24308173,0.24398796,-0.004856795,-0.003950566
P3,theta,0.311177,0.30384165,0.28287375,0.028303236,0.007335335
P4,alpha,0.25052857,0.26314053,0.271597,-0.021068424,-0.012611955
P4,beta,0.45054275,0.45045164,0.44356433,0.0069784224,9.11057e-05
P4,delta,0.22961302,0.20745158,0.21793307,0.011679947,0.022161439
P4,gamma,0.24481116,0.23318787,0.22774008,0.017071083,0.011623293
P4,theta,0.29312032,0.27605483,0.2653592,0.027761132,0.017065495
Pz,alpha,0.25609338,0.26741573,0.27679107,-0.020697683,-0.011322349
Pz,beta,0.22524998,0.23783436,0.22884192,-0.0035919398,-0.012584388
Pz,delta,0.29649377,0.28665775,0.29023063,0.006263137,0.009836018
Pz,gamma,0.21178563,0.20207997,0.20350759,0.008278042,0.009705663
Pz,theta,0.33085,0.33386862,0.3195486,0.011301398,-0.0030186176
