group,channel,band,mean_signed_relevance,median_signed_relevance,mean_absolute_relevance,median_absolute_relevance
A+P+,C3,alpha,-0.015827132,-0.014152985,0.23235846,0.2473146
A+P+,C3,beta,0.08831675,0.08688709,0.23137191,0.23239422
A+P+,C3,delta,0.2369207,0.23721293,0.30315202,0.31896716
A+P+,C3,gamma,-0.12153377,-0.12246851,0.23962323,0.24247646
A+P+,C3,theta,0.15518305,0.13468154,0.21181165,0.19491978
A+P+,C4,alpha,-0.071585655,-0.071658015,0.24254471,0.2566234
A+P+,C4,beta,-0.07670709,-0.08166979,0.2303878,0.24004605
A+P+,C4,delta,-0.05871167,-0.05795177,0.24256442,0.25269338
A+P+,C4,gamma,-0.020455463,-0.03351602,0.30624264,0.27188548
A+P+,C4,theta,0.1102901,0.07483964,0.24569196,0.2289469
A+P+,Cz,alpha,0.13626133,0.13965915,0.31974727,0.32154393
A+P+,Cz,beta,0.10580949,0.11041461,0.31929827,0.3142192
A+P+,Cz,delta,0.026443232,0.03241274,0.22683048,0.23745292
A+P+,Cz,gamma,0.0623751,0.06351381,0.2338808,0.24129549
A+P+,Cz,theta,-0.12244639,-0.12697658,0.23373918,0.22210878
A+P+,F3,alpha,-0.1025847,-0.104768574,0.2603883,0.27262363
A+P+,F3,beta,0.05314425,0.047689468,0.19580361,0.19728626
A+P+,F3,delta,-0.1196695,-0.10346351,0.28828382,0.29535168
A+P+,F3,gamma,-0.030893581,-0.028014272,0.16844375,0.16170755
A+P+,F3,theta,0.07107046,0.04073812,0.23231618,0.21522716
A+P+,F4,alpha,-0.06849,-0.08452318,0.28449887,0.30972573
A+P+,F4,beta,0.008441967,0.010657615,0.21755645,0.22176358
A+P+,F4,delta,-0.115495175,-0.13513106,0.24096662,0.25533372
A+P+,F4,gamma,0.036736514,0.01516391,0.20430313,0.19107336
A+P+,F4,theta,0.07383216,0.0657882,0.25048208,0.23541802
A+P+,F7,alpha,-0.16238254,-0.16145636,0.3817001,0.3866567
A+P+,F7,beta,-0.3635189,-0.36337805,0.42062053,0.43271112
A+P+,F7,delta,-0.016398348,-0.038609177,0.31792685,0.32218415
A+P+,F7,gamma,-0.18736859,-0.181721,0.27097097,0.24274549
A+P+,F7,theta,-0.29369432,-0.32653624,0.5454073,0.52774465
A+P+,F8,alpha,0.051925562,0.052602164,0.24535108,0.24952927
A+P+,F8,beta,-0.2987937,-0.28514725,0.39346045,0.36788034
A+P+,F8,delta,-0.16112861,-0.1799425,0.29090217,0.28267637
A+P+,F8,gamma,0.025793256,-0.025078788,0.23454233,0.19823506
A+P+,F8,theta,-0.047535583,-0.07160708,0.27616897,0.26643148
A+P+,Fp1,alpha,-0.1563172,-0.1580823,0.30758464,0.32051226
A+P+,Fp1,beta,-0.06019384,-0.06414801,0.26417992,0.26397187
A+P+,Fp1,delta,0.18675402,0.1793895,0.2755219,0.28702432
A+P+,Fp1,gamma,-0.15031457,-0.14835134,0.26264435,0.24694064
A+P+,Fp1,theta,0.03383571,0.024445474,0.18901882,0.18345629
A+P+,Fp2,alpha,-0.20995206,-0.21012011,0.3254957,0.33537254
A+P+,Fp2,beta,0.05393248,0.05837694,0.30970743,0.31566668
A+P+,Fp2,delta,0.14472166,0.14802629,0.25948706,0.2649865
A+P+,Fp2,gamma,-0.12284476,-0.09757381,0.2618763,0.23171073
A+P+,Fp2,theta,-0.11178745,-0.11900203,0.21720697,0.21856721
A+P+,Fz,alpha,-0.06289744,-0.070378646,0.27718082,0.27807426
A+P+,Fz,beta,-0.029580234,-0.03639103,0.29608202,0.2986585
A+P+,Fz,delta,-0.113879085,-0.11570251,0.26201925,0.269596
A+P+,Fz,gamma,-0.05429053,-0.030566458,0.23864248,0.24515843
A+P+,Fz,theta,0.12650171,0.11127359,0.2687891,0.24961069
A+P+,O1,alpha,-0.22978863,-0.23074725,0.3684405,0.39239585
A+P+,O1,beta,-0.030474516,-0.035009746,0.27792144,0.26411945
A+P+,O1,delta,0.15297005,0.15993677,0.24319707,0.258752
A+P+,O1,gamma,-0.36719504,-0.4160471,0.44052514,0.48231143
A+P+,O1,theta,0.03675928,0.028415997,0.22456694,0.23299724
A+P+,O2,alpha,-0.2569408,-0.27736688,0.35854584,0.3675949
A+P+,O2,beta,-0.03683475,-0.051894654,0.31399918,0.30170608
A+P+,O2,delta,0.46944073,0.4931407,0.505133,0.5401807
A+P+,O2,gamma,-0.07021664,-0.074583694,0.26914275,0.2858856
A+P+,O2,theta,0.20575383,0.20001277,0.29876062,0.31656253
A+P+,P3,alpha,-0.12574637,-0.118985035,0.29689205,0.3083532
A+P+,P3,beta,-0.08432965,-0.08011602,0.23392807,0.23385867
A+P+,P3,delta,0.009629991,-0.0029736825,0.19847384,0.20770897
A+P+,P3,gamma,0.10009096,0.10612167,0.23913117,0.24821289
A+P+,P3,theta,-0.023947392,-0.039347805,0.311177,0.2914195
A+P+,P4,alpha,-0.016063139,-0.01530652,0.25052857,0.25504678
A+P+,P4,beta,-0.36529815,-0.3553111,0.45054275,0.4492039
A+P+,P4,delta,0.004344489,0.015410354,0.22961302,0.23467931
A+P+,P4,gamma,0.12663424,0.10528199,0.24481116,0.22263658
A+P+,P4,theta,-0.055426788,-0.074400544,0.29312032,0.2615338
