participant_id,group,channel,band,signed_relevance,absolute_relevance
sub-01,N,C3,alpha,0.018554201,0.26278877
sub-01,N,C3,beta,0.12027269,0.23730443
sub-01,N,C3,delta,0.3176333,0.3560051
sub-01,N,C3,gamma,-0.17267786,0.27851126
sub-01,N,C3,theta,0.15804373,0.20438583
sub-01,N,C4,alpha,-0.06510721,0.30418673
sub-01,N,C4,beta,-0.06427974,0.24443565
sub-01,N,C4,delta,-0.032766815,0.2314782
sub-01,N,C4,gamma,-0.063889526,0.338179
sub-01,N,C4,theta,0.1300526,0.2685716
sub-01,N,Cz,alpha,0.14762586,0.33881125
sub-01,N,Cz,beta,0.086846344,0.31406134
sub-01,N,Cz,delta,0.07935252,0.22246715
sub-01,N,Cz,gamma,0.122480914,0.28705153
sub-01,N,Cz,theta,-0.13193971,0.24437535
sub-01,N,F3,alpha,-0.13836746,0.27902815
sub-01,N,F3,beta,0.101434454,0.27782825
sub-01,N,F3,delta,-0.021118982,0.19106328
sub-01,N,F3,gamma,-0.06665598,0.28594923
sub-01,N,F3,theta,0.043147314,0.19264586
sub-01,N,F4,alpha,-0.04959042,0.27812788
sub-01,N,F4,beta,0.08066666,0.3107091
sub-01,N,F4,delta,-0.053785987,0.17984906
sub-01,N,F4,gamma,0.34192044,0.5285835
sub-01,N,F4,theta,0.035170633,0.19328135
sub-01,N,F7,alpha,-0.13632055,0.41695046
sub-01,N,F7,beta,-0.34716862,0.4088826
sub-01,N,F7,delta,0.028976703,0.3454661
sub-01,N,F7,gamma,-0.2559059,0.3161502
sub-01,N,F7,theta,-0.3114339,0.57916075
sub-01,N,F8,alpha,0.097750574,0.3109267
sub-01,N,F8,beta,-0.3164857,0.389041
sub-01,N,F8,delta,-0.16229016,0.30952272
sub-01,N,F8,gamma,-0.05313952,0.15464535
sub-01,N,F8,theta,-0.10275371,0.3024324
sub-01,N,Fp1,alpha,-0.15432595,0.31028688
sub-01,N,Fp1,beta,-0.17758077,0.4229053
sub-01,N,Fp1,delta,0.12459233,0.15385142
sub-01,N,Fp1,gamma,-0.16123676,0.42164603
sub-01,N,Fp1,theta,0.019917227,0.14098758
sub-01,N,Fp2,alpha,-0.25926897,0.38896993
sub-01,N,Fp2,beta,0.06277058,0.4231143
sub-01,N,Fp2,delta,0.16394426,0.2388445
sub-01,N,Fp2,gamma,-0.20228693,0.4114221
sub-01,N,Fp2,theta,-0.08607453,0.2106834
sub-01,N,Fz,alpha,-0.09415579,0.34522098
sub-01,N,Fz,beta,-0.035199404,0.29018068
sub-01,N,Fz,delta,-0.07735861,0.22184397
sub-01,N,Fz,gamma,-0.024615694,0.30843157
sub-01,N,Fz,theta,0.1271261,0.2575675
sub-01,N,O1,alpha,-0.26155975,0.41997182
sub-01,N,O1,beta,-0.06829676,0.21179156
sub-01,N,O1,delta,0.16968381,0.2544333
sub-01,N,O1,gamma,-0.38108116,0.4465296
sub-01,N,O1,theta,0.056924094,0.25625297
sub-01,N,O2,alpha,-0.34691098,0.488577
sub-01,N,O2,beta,-0.0845013,0.25940636
sub-01,N,O2,delta,0.4816908,0.5150709
sub-01,N,O2,gamma,-0.009007588,0.2527364
sub-01,N,O2,theta,0.25719687,0.34518555
sub-01,N,P3,alpha,-0.110735364,0.32552233
sub-01,N,P3,beta,-0.10382077,0.24449001
sub-01,N,P3,delta,-0.0038988076,0.21111117
sub-01,N,P3,gamma,0.16001505,0.30586943
sub-01,N,P3,theta,-0.03528354,0.32787955
sub-01,N,P4,alpha,0.0074908175,0.28367263
sub-01,N,P4,beta,-0.43695533,0.5208866
sub-01,N,P4,delta,0.06049831,0.21228342
sub-01,N,P4,gamma,0.12924406,0.22460179
sub-01,N,P4,theta,-0.065230355,0.32180652
sub-01,N,Pz,alpha,-0.039213184,0.3055425
sub-01,N,Pz,beta,-0.04171216,0.21010318
sub-01,N,Pz,delta,-0.18109538,0.27108154
sub-01,N,Pz,gamma,0.02026353,0.18157014
sub-01,N,Pz,theta,-0.27977654,0.35061938
sub-02,N,C3,alpha,0.021727407,0.18118006
sub-02,N,C3,beta,0.096368834,0.24954934
sub-02,N,C3,delta,0.20340197,0.24851944
sub-02,N,C3,gamma,-0.14788222,0.40776995
sub-02,N,C3,theta,0.111394614,0.14733125
sub-02,N,C4,alpha,-0.05149566,0.20385681
sub-02,N,C4,beta,-0.07142518,0.24804631
sub-02,N,C4,delta,-0.033412058,0.19973956
sub-02,N,C4,gamma,0.09834273,0.5784298
sub-02,N,C4,theta,0.03877064,0.16601428
sub-02,N,Cz,alpha,0.12267928,0.28596935
sub-02,N,Cz,beta,0.1468647,0.33572802
sub-02,N,Cz,delta,0.06111632,0.23655604
sub-02,N,Cz,gamma,0.10130221,0.3375399
sub-02,N,Cz,theta,-0.103887945,0.21865827
sub-02,N,F3,alpha,-0.1234275,0.22509116
sub-02,N,F3,beta,0.093984954,0.23728465
sub-02,N,F3,delta,-0.046892203,0.224942
sub-02,N,F3,gamma,-0.018302416,0.32206893
sub-02,N,F3,theta,0.013744445,0.17058216
sub-02,N,F4,alpha,0.059438843,0.14437507
sub-02,N,F4,beta,0.063414544,0.29974192
sub-02,N,F4,delta,-0.017227791,0.11484737
sub-02,N,F4,gamma,0.22369413,0.48367283
sub-02,N,F4,theta,-0.006820492,0.106661215
sub-02,N,F7,alpha,-0.1346494,0.31340536
sub-02,N,F7,beta,-0.46476597,0.5542251
sub-02,N,F7,delta,-0.027744744,0.2874614
sub-02,N,F7,gamma,-0.3231004,0.50101787
sub-02,N,F7,theta,-0.34903196,0.48142767
sub-02,N,F8,alpha,0.06828656,0.22791845
sub-02,N,F8,beta,-0.46307856,0.5961109
sub-02,N,F8,delta,-0.1476551,0.24153753
sub-02,N,F8,gamma,0.13365021,0.4441175
sub-02,N,F8,theta,-0.11909263,0.24504392
sub-02,N,Fp1,alpha,-0.16912122,0.31040522
sub-02,N,Fp1,beta,-0.113807395,0.31125993
sub-02,N,Fp1,delta,0.2200437,0.2940113
sub-02,N,Fp1,gamma,-0.19702522,0.32617465
sub-02,N,Fp1,theta,0.044310804,0.19526504
sub-02,N,Fp2,alpha,-0.14505507,0.2743681
sub-02,N,Fp2,beta,0.07074756,0.39031756
sub-02,N,Fp2,delta,0.11881166,0.20674783
sub-02,N,Fp2,gamma,-0.16453995,0.42400146
sub-02,N,Fp2,theta,-0.07495631,0.15537815
sub-02,N,Fz,alpha,-0.0011392572,0.27536583
sub-02,N,Fz,beta,-0.005701579,0.30657423
sub-02,N,Fz,delta,-0.11407652,0.2571895
sub-02,N,Fz,gamma,-0.16916299,0.3781877
sub-02,N,Fz,theta,0.09005515,0.23598517
sub-02,N,O1,alpha,-0.22208802,0.33482003
sub-02,N,O1,beta,0.054464657,0.35548356
sub-02,N,O1,delta,0.13429429,0.17755441
sub-02,N,O1,gamma,-0.5023733,0.68647814
sub-02,N,O1,theta,0.07684964,0.18001795
sub-02,N,O2,alpha,-0.19561566,0.33876228
sub-02,N,O2,beta,-0.010615141,0.29036415
sub-02,N,O2,delta,0.564261,0.58893406
sub-02,N,O2,gamma,-0.12173781,0.34095013
sub-02,N,O2,theta,0.31184182,0.3950567
sub-02,N,P3,alpha,-0.040533762,0.27023494
sub-02,N,P3,beta,-0.058298543,0.22966439
sub-02,N,P3,delta,-0.024955131,0.21078555
sub-02,N,P3,gamma,0.21351676,0.39601615
sub-02,N,P3,theta,-0.05570191,0.25612935
sub-02,N,P4,alpha,0.03356591,0.28271678
sub-02,N,P4,beta,-0.25493428,0.33727717
sub-02,N,P4,delta,0.018637393,0.20806955
sub-02,N,P4,gamma,0.1594114,0.29292274
sub-02,N,P4,theta,-0.06054212,0.25001958
sub-02,N,Pz,alpha,-0.029867595,0.2678801
sub-02,N,Pz,beta,0.013466928,0.20690893
sub-02,N,Pz,delta,-0.16807666,0.2889134
sub-02,N,Pz,gamma,0.029952867,0.39129692
sub-02,N,Pz,theta,-0.23741393,0.29902297
sub-03,N,C3,alpha,-0.09943174,0.32751662
sub-03,N,C3,beta,0.09248408,0.18921545
sub-03,N,C3,delta,0.18928266,0.21400179
