channel,band,A+P+,A+P-,N,A+P+_minus_N,A+P+_minus_A+P-
C3,alpha,-0.015827132,-0.023362841,-0.017942375,0.0021152422,0.007535709
C3,beta,0.08831675,0.08234561,0.091878645,-0.0035618916,0.005971141
C3,delta,0.2369207,0.2227363,0.2350189,0.0019018054,0.0141844
C3,gamma,-0.12153377,-0.12853742,-0.12396884,0.0024350733,0.00700365
C3,theta,0.15518305,0.13832603,0.13472615,0.020456895,0.016857013
C4,alpha,-0.071585655,-0.08012892,-0.07738542,0.005799763,0.008543268
C4,beta,-0.07670709,-0.07927645,-0.074800186,-0.0019069016,0.0025693625
C4,delta,-0.05871167,-0.0520345,-0.048021547,-0.010690123,-0.0066771694
C4,gamma,-0.020455463,-0.034708016,-0.024871042,0.004415579,0.014252553
C4,theta,0.1102901,0.10951233,0.08627363,0.02401647,0.00077777356
Cz,alpha,0.13626133,0.12575066,0.13341945,0.002841875,0.010510668
Cz,beta,0.10580949,0.074161604,0.09472065,0.011088841,0.031647883
Cz,delta,0.026443232,0.03584259,0.039961655,-0.013518423,-0.009399358
Cz,gamma,0.0623751,0.07607098,0.07976347,-0.017388374,-0.013695881
Cz,theta,-0.12244639,-0.1285041,-0.12192984,-0.00051654875,0.0060577095
F3,alpha,-0.1025847,-0.10732878,-0.10797912,0.0053944215,0.0047440827
F3,beta,0.05314425,0.04351958,0.054776154,-0.0016319044,0.009624671
F3,delta,-0.1196695,-0.119340606,-0.10314747,-0.016522028,-0.00032889098
F3,gamma,-0.030893581,-0.03215981,-0.027342033,-0.0035515483,0.001266228
F3,theta,0.07107046,0.03962149,0.04339301,0.027677454,0.03144897
F4,alpha,-0.06849,-0.096887,-0.08831371,0.019823715,0.028397001
F4,beta,0.008441967,0.0073411707,0.019247586,-0.010805619,0.0011007963
F4,delta,-0.115495175,-0.10325414,-0.096384116,-0.01911106,-0.012241036
F4,gamma,0.036736514,0.043255504,0.065596096,-0.028859582,-0.00651899
F4,theta,0.07383216,0.048026804,0.048092928,0.025739234,0.025805358
F7,alpha,-0.16238254,-0.1607776,-0.1635356,0.0011530519,-0.0016049445
F7,beta,-0.3635189,-0.3854629,-0.37803435,0.01451546,0.021944016
F7,delta,-0.016398348,-0.03498146,-0.027547905,0.011149557,0.018583111
F7,gamma,-0.18736859,-0.20470469,-0.21758787,0.030219287,0.0173361
F7,theta,-0.29369432,-0.34494522,-0.34715402,0.053459704,0.051250905
F8,alpha,0.051925562,0.038411327,0.04540377,0.006521791,0.013514236
F8,beta,-0.2987937,-0.316636,-0.3085202,0.009726495,0.017842293
F8,delta,-0.16112861,-0.16723078,-0.16711727,0.0059886575,0.0061021745
F8,gamma,0.025793256,0.007334215,0.013624188,0.012169069,0.01845904
F8,theta,-0.047535583,-0.08527352,-0.09349925,0.045963667,0.037737936
Fp1,alpha,-0.1563172,-0.15979601,-0.14974742,-0.006569788,0.0034788102
Fp1,beta,-0.06019384,-0.08332373,-0.075258195,0.015064355,0.023129892
Fp1,delta,0.18675402,0.17327692,0.17942224,0.0073317736,0.013477102
Fp1,gamma,-0.15031457,-0.16396126,-0.16777284,0.017458275,0.013646692
