channel,band,A+P+,A+P-,N,A+P+_minus_N,A+P+_minus_A+P-
C3,alpha,0.109076776,0.11545009,0.11368905,-0.0046122745,-0.006373316
C3,beta,0.117879845,0.119903624,0.12535322,-0.007473372,-0.0020237789
C3,delta,0.18963997,0.17522284,0.17882393,0.010816038,0.014417127
C3,gamma,0.10379696,0.106881425,0.11525388,-0.011456922,-0.0030844659
C3,theta,0.118902005,0.11058009,0.104813464,0.014088541,0.008321919
C4,alpha,0.11831064,0.12667844,0.12898667,-0.010676034,-0.008367799
C4,beta,0.111798406,0.11644657,0.117621966,-0.00582356,-0.004648164
C4,delta,0.10802589,0.1011323,0.10241941,0.00560648,0.00689359
C4,gamma,0.1530955,0.14784752,0.15728138,-0.004185885,0.0052479804
C4,theta,0.12627475,0.12960137,0.11363056,0.012644187,-0.0033266246
Cz,alpha,0.16459897,0.16697378,0.16912027,-0.0045212954,-0.002374813
Cz,beta,0.18544742,0.1874275,0.19081564,-0.005368218,-0.0019800812
Cz,delta,0.112078555,0.105064444,0.105397396,0.006681159,0.0070141107
Cz,gamma,0.13704209,0.14322227,0.14422122,-0.007179126,-0.006180182
Cz,theta,0.10823673,0.10894935,0.10532308,0.0029136464,-0.00071261823
F3,alpha,0.12943967,0.13666686,0.13508485,-0.0056451857,-0.0072271973
F3,beta,0.09210482,0.09324993,0.099117085,-0.007012263,-0.0011451095
F3,delta,0.14029829,0.13068673,0.12507968,0.0152186155,0.009611562
F3,gamma,0.08071733,0.08144037,0.09327396,-0.012556627,-0.00072303414
F3,theta,0.11429518,0.10126862,0.09687507,0.017420106,0.013026558
F4,alpha,0.13719696,0.15022776,0.1465858,-0.009388849,-0.013030797
F4,beta,0.10982355,0.11236389,0.1176884,-0.007864855,-0.0025403425
F4,delta,0.122267455,0.11155646,0.10866144,0.013606012,0.010710992
F4,gamma,0.098049365,0.10225882,0.111900985,-0.01385162,-0.0042094514
F4,theta,0.12572679,0.1134055,0.11003829,0.015688501,0.012321286
F7,alpha,0.21678658,0.2199805,0.21933176,-0.002545178,-0.003193915
F7,beta,0.22041646,0.22986999,0.23027624,-0.009859785,-0.009453535
F7,delta,0.15349922,0.1483206,0.15184754,0.0016516745,0.0051786155
F7,gamma,0.13409126,0.139732,0.15425779,-0.020166531,-0.005640745
F7,theta,0.3116374,0.3069392,0.3018616,0.009775788,0.004698187
F8,alpha,0.11198386,0.122237876,0.120147936,-0.008164078,-0.010254018
