group,channel,band,mean_signed_relevance,median_signed_relevance,mean_absolute_relevance,median_absolute_relevance
A+P+,C3,alpha,-0.018697957,-0.018620256,0.109076776,0.11149521
A+P+,C3,beta,0.064405836,0.06558204,0.117879845,0.11664959
A+P+,C3,delta,0.16550842,0.17128958,0.18963997,0.19736412
A+P+,C3,gamma,-0.042046312,-0.03983811,0.10379696,0.108125836
A+P+,C3,theta,0.098533586,0.09002646,0.118902005,0.11090636
A+P+,C4,alpha,-0.045530383,-0.043739002,0.11831064,0.12061935
A+P+,C4,beta,-0.037184775,-0.037460368,0.111798406,0.111985594
A+P+,C4,delta,0.0016606528,0.0022722005,0.10802589,0.11397814
A+P+,C4,gamma,0.011171036,0.0045328764,0.1530955,0.13756609
A+P+,C4,theta,0.078558415,0.066241756,0.12627475,0.115771465
A+P+,Cz,alpha,0.06405594,0.06583038,0.16459897,0.16467172
A+P+,Cz,beta,0.081348136,0.08351854,0.18544742,0.18267138
A+P+,Cz,delta,0.021855054,0.023138765,0.112078555,0.11662267
A+P+,Cz,gamma,0.046405684,0.048608206,0.13704209,0.141894
A+P+,Cz,theta,-0.045449115,-0.047686808,0.10823673,0.10615039
A+P+,F3,alpha,-0.05850671,-0.06307402,0.12943967,0.13524719
A+P+,F3,beta,0.03124189,0.03144705,0.09210482,0.091461934
A+P+,F3,delta,-0.063055895,-0.057427607,0.14029829,0.14093721
A+P+,F3,gamma,-0.007596873,-0.008072542,0.08071733,0.07997505
A+P+,F3,theta,0.06244273,0.054943524,0.11429518,0.10464724
A+P+,F4,alpha,-0.03315863,-0.04485838,0.13719696,0.15187657
A+P+,F4,beta,-0.013797584,-0.012019834,0.10982355,0.11196199
A+P+,F4,delta,-0.044019934,-0.053370774,0.122267455,0.12847604
A+P+,F4,gamma,0.021070763,0.01386275,0.098049365,0.09334384
A+P+,F4,theta,0.058612067,0.056134574,0.12572679,0.12172921
A+P+,F7,alpha,-0.13645025,-0.13721696,0.21678658,0.21541557
A+P+,F7,beta,-0.20110601,-0.20693216,0.22041646,0.22665763
A+P+,F7,delta,-0.002177079,-0.008370912,0.15349922,0.15167671
A+P+,F7,gamma,-0.094653584,-0.09241828,0.13409126,0.11765835
A+P+,F7,theta,-0.19171299,-0.20998085,0.3116374,0.29794443
A+P+,F8,alpha,0.0018016263,0.0014412301,0.11198386,0.111144565
A+P+,F8,beta,-0.17046675,-0.16603687,0.20897964,0.1971266
A+P+,F8,delta,-0.07554043,-0.08007474,0.13503689,0.1308265
A+P+,F8,gamma,0.035103932,0.004193719,0.11702074,0.0951947
A+P+,F8,theta,-0.009944109,-0.023598494,0.12928864,0.11827429
A+P+,Fp1,alpha,-0.09513605,-0.09688974,0.16457275,0.1690574
A+P+,Fp1,beta,-0.021488475,-0.021790937,0.13544744,0.13701189
A+P+,Fp1,delta,0.11430874,0.11211188,0.15398228,0.15893346
A+P+,Fp1,gamma,-0.08541699,-0.08609493,0.12454516,0.11749861
A+P+,Fp1,theta,0.030505352,0.027396278,0.09428401,0.0916074
A+P+,Fp2,alpha,-0.123935066,-0.124099,0.16972318,0.1759809
A+P+,Fp2,beta,0.032134768,0.032719303,0.16791837,0.17064841
A+P+,Fp2,delta,0.12392837,0.12518254,0.15935014,0.16125919
A+P+,Fp2,gamma,-0.07059261,-0.062441975,0.12631707,0.112625256
A+P+,Fp2,theta,-0.053535704,-0.057155006,0.10029881,0.1043596
A+P+,Fz,alpha,-0.07265406,-0.07948844,0.14273462,0.14866829
A+P+,Fz,beta,-0.034032762,-0.036373496,0.14809808,0.15013695
A+P+,Fz,delta,-0.04902101,-0.048308413,0.12609755,0.12888712
A+P+,Fz,gamma,-0.05275792,-0.040817477,0.13019046,0.13262376
A+P+,Fz,theta,0.07985275,0.07264273,0.1281716,0.121435046
A+P+,O1,alpha,-0.17712314,-0.18808194,0.22518776,0.23657542
A+P+,O1,beta,-0.015546731,-0.018533979,0.13091017,0.123496
A+P+,O1,delta,0.09110172,0.09577443,0.1350143,0.1457628
A+P+,O1,gamma,-0.2050687,-0.23454271,0.2400843,0.26378912
A+P+,O1,theta,0.018711887,0.017227013,0.1045028,0.107583694
A+P+,O2,alpha,-0.19260603,-0.20477808,0.22181454,0.22796479
A+P+,O2,beta,-0.041191112,-0.04832071,0.16185676,0.15918525
A+P+,O2,delta,0.31137973,0.33459294,0.32479045,0.34752935
A+P+,O2,gamma,-0.036606118,-0.037606373,0.1363739,0.1447534
A+P+,O2,theta,0.12521042,0.12635574,0.15856247,0.16928208
A+P+,P3,alpha,-0.09471887,-0.09246516,0.15636986,0.1597437
A+P+,P3,beta,-0.040222928,-0.03792566,0.11127751,0.114503324
A+P+,P3,delta,0.020435026,0.016077835,0.10146112,0.10490155
A+P+,P3,gamma,0.07572451,0.07769488,0.13101657,0.13492864
A+P+,P3,theta,-0.02035947,-0.027523676,0.16797917,0.15610918
A+P+,P4,alpha,-0.02973349,-0.026975553,0.111992955,0.112842456
A+P+,P4,beta,-0.2281853,-0.23341677,0.2643279,0.27293187
A+P+,P4,delta,0.0064892913,0.010326425,0.11728184,0.121973544
A+P+,P4,gamma,0.06713436,0.056421794,0.12299609,0.111794464
A+P+,P4,theta,-0.027605012,-0.038463354,0.15457717,0.13586438
A+P+,Pz,alpha,-0.03824109,-0.03470424,0.13015252,0.13731508
A+P+,Pz,beta,-0.019592592,-0.022269765,0.1129597,0.10522744
A+P+,Pz,delta,-0.09045229,-0.09584627,0.1461242,0.15344155
A+P+,Pz,gamma,0.013974489,0.011964299,0.10681139,0.10283101
A+P+,Pz,theta,-0.11825417,-0.1166373,0.16832648,0.16594723
A+P-,C3,alpha,-0.02341387,-0.016303372,0.11545009,0.117767334
A+P-,C3,beta,0.062129773,0.061174832,0.119903624,0.12269738
A+P-,C3,delta,0.15464793,0.15929794,0.17522284,0.18057787
A+P-,C3,gamma,-0.0432205,-0.04060514,0.106881425,0.1045275
A+P-,C3,theta,0.08931644,0.07775913,0.11058009,0.097161084
A+P-,C4,alpha,-0.04922989,-0.046640407,0.12667844,0.12965557
A+P-,C4,beta,-0.038583122,-0.039719142,0.11644657,0.11844297
A+P-,C4,delta,0.0030153187,0.0042666625,0.1011323,0.10209195
A+P-,C4,gamma,0.0064295675,-0.0074710594,0.14784752,0.13852605
A+P-,C4,theta,0.07857692,0.07886748,0.12960137,0.12981948
A+P-,Cz,alpha,0.06116933,0.059606697,0.16697378,0.16606696
A+P-,Cz,beta,0.06936861,0.067894906,0.1874275,0.1888663
A+P-,Cz,delta,0.026798343,0.02838428,0.105064444,0.10238587
A+P-,Cz,gamma,0.051116847,0.05301398,0.14322227,0.15146545
A+P-,Cz,theta,-0.047295168,-0.046512574,0.10894935,0.10706553
A+P-,F3,alpha,-0.060022328,-0.0595686,0.13666686,0.14188091
A+P-,F3,beta,0.028226787,0.024324436,0.09324993,0.093869954
A+P-,F3,delta,-0.0600663,-0.05976858,0.13068673,0.13360369
A+P-,F3,gamma,-0.007513967,-0.0083956085,0.08144037,0.07576699
A+P-,F3,theta,0.047267746,0.041851148,0.10126862,0.098544836
A+P-,F4,alpha,-0.046998978,-0.059235413,0.15022776,0.1576288
A+P-,F4,beta,-0.013452755,-0.013461858,0.11236389,0.11540142
A+P-,F4,delta,-0.037353866,-0.0413668,0.11155646,0.11343934
A+P-,F4,gamma,0.02434051,0.006677094,0.10225882,0.087235354
A+P-,F4,theta,0.044237275,0.039508868,0.1134055,0.11201736
A+P-,F7,alpha,-0.13509066,-0.13640986,0.2199805,0.22465158
A+P-,F7,beta,-0.21088797,-0.21838263,0.22986999,0.24288946
A+P-,F7,delta,-0.01056473,-0.009235648,0.1483206,0.15384388
A+P-,F7,gamma,-0.100601524,-0.10160567,0.139732,0.13193083
A+P-,F7,theta,-0.21524288,-0.2213333,0.3069392,0.30819523
A+P-,F8,alpha,-0.0051454203,-0.00036080138,0.122237876,0.12576106
A+P-,F8,beta,-0.18072625,-0.19614518,0.2210002,0.22669709
A+P-,F8,delta,-0.07639252,-0.08204998,0.13136415,0.13841873
A+P-,F8,gamma,0.02727564,0.0033764988,0.11301196,0.09437592
A+P-,F8,theta,-0.026409447,-0.03439317,0.1210517,0.119096145
A+P-,Fp1,alpha,-0.099149205,-0.09972459,0.17915015,0.1821777
A+P-,Fp1,beta,-0.032925587,-0.03528338,0.14907585,0.15483245
A+P-,Fp1,delta,0.106987745,0.10954312,0.1416585,0.14712489
A+P-,Fp1,gamma,-0.09016164,-0.092037454,0.13017721,0.13501412
A+P-,Fp1,theta,0.02780012,0.025674302,0.092669204,0.08919407
A+P-,Fp2,alpha,-0.14094658,-0.14994192,0.19306824,0.20340694
A+P-,Fp2,beta,0.025290858,0.02269902,0.17669742,0.18021479
A+P-,Fp2,delta,0.11789136,0.12027104,0.14833044,0.15727922
A+P-,Fp2,gamma,-0.07417437,-0.06903978,0.12151984,0.11629726
A+P-,Fp2,theta,-0.051672667,-0.048832227,0.098719336,0.097588435
A+P-,Fz,alpha,-0.08537368,-0.088547595,0.15597664,0.16368501
A+P-,Fz,beta,-0.03587682,-0.039877646,0.14727803,0.14839938
A+P-,Fz,delta,-0.045344364,-0.039781734,0.11154663,0.10620978
A+P-,Fz,gamma,-0.05204424,-0.04066077,0.13040793,0.13147473
A+P-,Fz,theta,0.058752064,0.059153385,0.10921435,0.10891349
A+P-,O1,alpha,-0.1843639,-0.18613061,0.23792256,0.23921993
A+P-,O1,beta,-0.019048601,-0.023860812,0.12662944,0.1293867
A+P-,O1,delta,0.08264567,0.08142802,0.12314974,0.12692486
A+P-,O1,gamma,-0.18869723,-0.23277548,0.22387436,0.25603735
A+P-,O1,theta,0.013649249,0.011287445,0.10226258,0.105388895
A+P-,O2,alpha,-0.21641402,-0.226306,0.24870802,0.26367283
A+P-,O2,beta,-0.045303084,-0.045249566,0.15924118,0.16013461
A+P-,O2,delta,0.2739673,0.28420234,0.28667873,0.29556018
A+P-,O2,gamma,-0.03778807,-0.030354485,0.13234618,0.14062238
A+P-,O2,theta,0.11431659,0.11234951,0.1473729,0.1560108
A+P-,P3,alpha,-0.097263545,-0.10055265,0.16387002,0.16846573
A+P-,P3,beta,-0.03896726,-0.040461794,0.11427264,0.12454006
A+P-,P3,delta,0.020339731,0.019501192,0.09337404,0.09442757
A+P-,P3,gamma,0.07865557,0.0825606,0.1316667,0.13815549
A+P-,P3,theta,-0.032644078,-0.04018017,0.16286737,0.15978333
A+P-,P4,alpha,-0.030578187,-0.029847365,0.119666554,0.12047033
A+P-,P4,beta,-0.22715583,-0.24779704,0.26338607,0.2825722
A+P-,P4,delta,0.0111876475,0.011991264,0.106188044,0.10957956
A+P-,P4,gamma,0.062833525,0.062327653,0.11536935,0.117310375
A+P-,P4,theta,-0.045671396,-0.05019421,0.14446786,0.14158286
A+P-,Pz,alpha,-0.04206277,-0.042750955,0.13750899,0.14107019
A+P-,Pz,beta,-0.019408239,-0.021945283,0.118461765,0.11735386
A+P-,Pz,delta,-0.08959255,-0.09772146,0.13992824,0.150817
A+P-,Pz,gamma,0.012257254,0.012543371,0.10212358,0.10215527
A+P-,Pz,theta,-0.12896305,-0.13409999,0.16850789,0.17223623
N,C3,alpha,-0.020376751,-0.014051377,0.11368905,0.11298164
N,C3,beta,0.066044405,0.06847001,0.12535322,0.12011976
N,C3,delta,0.15984336,0.16618104,0.17882393,0.18347193
N,C3,gamma,-0.040851194,-0.044873796,0.11525388,0.113854825
N,C3,theta,0.0857544,0.08250617,0.104813464,0.097916566
N,C4,alpha,-0.048823368,-0.047185022,0.12898667,0.13205117
N,C4,beta,-0.037211843,-0.039550286,0.117621966,0.115187675
N,C4,delta,0.004303313,0.0045462227,0.10241941,0.10306342
N,C4,gamma,0.010753725,-0.00089528045,0.15728138,0.15372479
N,C4,theta,0.06486984,0.06026125,0.11363056,0.106368415
N,Cz,alpha,0.06394319,0.06532563,0.16912027,0.17061913
N,Cz,beta,0.07795783,0.08577045,0.19081564,0.18655527
N,Cz,delta,0.02768732,0.02714721,0.105397396,0.11087362
N,Cz,gamma,0.052579265,0.056266513,0.14422122,0.15073277
N,Cz,theta,-0.046471145,-0.046111844,0.10532308,0.10361081
N,F3,alpha,-0.060291454,-0.064050205,0.13508485,0.13863793
N,F3,beta,0.032445822,0.031084228,0.099117085,0.094251715
N,F3,delta,-0.05330598,-0.05218034,0.12507968,0.1275999
N,F3,gamma,-0.005424151,-0.007471698,0.09327396,0.083573006
