participant_id,group,channel,band,signed_relevance,absolute_relevance
sub-01,N,C3,alpha,-0.00553162,0.11298164
sub-01,N,C3,beta,0.07848217,0.119268775
sub-01,N,C3,delta,0.1987154,0.21351148
sub-01,N,C3,gamma,-0.056701217,0.113854825
sub-01,N,C3,theta,0.09639401,0.11193917
sub-01,N,C4,alpha,-0.046763033,0.14217104
sub-01,N,C4,beta,-0.033547025,0.117473744
sub-01,N,C4,delta,0.008763005,0.1021706
sub-01,N,C4,gamma,-0.00089528045,0.15929471
sub-01,N,C4,theta,0.08733543,0.1385733
sub-01,N,Cz,alpha,0.068524815,0.17148082
sub-01,N,Cz,beta,0.075925626,0.1849592
sub-01,N,Cz,delta,0.041236907,0.104993835
sub-01,N,Cz,gamma,0.07375183,0.15958618
sub-01,N,Cz,theta,-0.04945952,0.11006961
sub-01,N,F3,alpha,-0.073804446,0.13385239
sub-01,N,F3,beta,0.052430023,0.12353309
sub-01,N,F3,delta,-0.018695774,0.09503198
sub-01,N,F3,gamma,-0.017599918,0.13058051
sub-01,N,F3,theta,0.042173754,0.08705988
sub-01,N,F4,alpha,-0.02427392,0.12614065
sub-01,N,F4,beta,0.013174861,0.14929774
sub-01,N,F4,delta,-0.018608075,0.08903552
sub-01,N,F4,gamma,0.14905494,0.23380768
sub-01,N,F4,theta,0.028039722,0.0910243
sub-01,N,F7,alpha,-0.1323675,0.23637402
sub-01,N,F7,beta,-0.19849612,0.21474613
sub-01,N,F7,delta,0.012707123,0.16283993
sub-01,N,F7,gamma,-0.124145955,0.14723298
sub-01,N,F7,theta,-0.2095293,0.32085744
sub-01,N,F8,alpha,0.016700966,0.13744774
sub-01,N,F8,beta,-0.17521843,0.20005654
sub-01,N,F8,delta,-0.07886946,0.14134093
sub-01,N,F8,gamma,-0.015086289,0.06771761
sub-01,N,F8,theta,-0.033513613,0.13667898
sub-01,N,Fp1,alpha,-0.09990138,0.16251807
sub-01,N,Fp1,beta,-0.08312704,0.20845523
sub-01,N,Fp1,delta,0.072487175,0.08422593
sub-01,N,Fp1,gamma,-0.10208928,0.18792762
sub-01,N,Fp1,theta,0.01601033,0.067919455
sub-01,N,Fp2,alpha,-0.15059982,0.19732733
sub-01,N,Fp2,beta,0.023334187,0.22400177
sub-01,N,Fp2,delta,0.1276902,0.14715657
sub-01,N,Fp2,gamma,-0.10705096,0.19702622
sub-01,N,Fp2,theta,-0.048035454,0.099114396
sub-01,N,Fz,alpha,-0.095181964,0.173066
sub-01,N,Fz,beta,-0.04176428,0.13940269
sub-01,N,Fz,delta,-0.0351965,0.10422666
sub-01,N,Fz,gamma,-0.055523664,0.17141958
sub-01,N,Fz,theta,0.072014146,0.118980244
sub-01,N,O1,alpha,-0.20225035,0.25525412
sub-01,N,O1,beta,-0.036795378,0.09996734
sub-01,N,O1,delta,0.09391154,0.13336167
sub-01,N,O1,gamma,-0.20900337,0.23753418
sub-01,N,O1,theta,0.026406927,0.11787289
sub-01,N,O2,alpha,-0.25620648,0.29015833
sub-01,N,O2,beta,-0.06513244,0.1327129
sub-01,N,O2,delta,0.30102104,0.31401017
sub-01,N,O2,gamma,-0.008909183,0.12686677
sub-01,N,O2,theta,0.14644751,0.17448151
sub-01,N,P3,alpha,-0.095793955,0.16085897
sub-01,N,P3,beta,-0.047002625,0.11724883
sub-01,N,P3,delta,0.012763025,0.107076384
sub-01,N,P3,gamma,0.10259436,0.16213322
sub-01,N,P3,theta,-0.034001734,0.17366494
sub-01,N,P4,alpha,-0.02336339,0.11971833
sub-01,N,P4,beta,-0.27260244,0.30687776
sub-01,N,P4,delta,0.030123618,0.102242455
sub-01,N,P4,gamma,0.06543442,0.11073988
sub-01,N,P4,theta,-0.035020366,0.16182576
sub-01,N,Pz,alpha,-0.051644605,0.15055604
sub-01,N,Pz,beta,-0.028823841,0.10158799
sub-01,N,Pz,delta,-0.08804928,0.13035688
sub-01,N,Pz,gamma,0.019569224,0.09041182
sub-01,N,Pz,theta,-0.1433383,0.174228
sub-02,N,C3,alpha,0.0030574345,0.07965346
sub-02,N,C3,beta,0.07693066,0.1271931
sub-02,N,C3,delta,0.14709485,0.15846212
sub-02,N,C3,gamma,-0.03838831,0.1678974
sub-02,N,C3,theta,0.07010922,0.0815169
sub-02,N,C4,alpha,-0.034153953,0.09364214
sub-02,N,C4,beta,-0.03498682,0.112379245
sub-02,N,C4,delta,0.0045462227,0.08813475
sub-02,N,C4,gamma,0.063113704,0.28395495
sub-02,N,C4,theta,0.038454555,0.08316199
sub-02,N,Cz,alpha,0.056459825,0.1431192
sub-02,N,Cz,beta,0.09775687,0.19321154
sub-02,N,Cz,delta,0.030397793,0.11381833
sub-02,N,Cz,gamma,0.07072956,0.19251774
sub-02,N,Cz,theta,-0.044518307,0.10134384
sub-02,N,F3,alpha,-0.06178338,0.105464965
sub-02,N,F3,beta,0.046765625,0.11061955
sub-02,N,F3,delta,-0.038078323,0.115325354
sub-02,N,F3,gamma,-0.0038751878,0.14491215
sub-02,N,F3,theta,0.027468609,0.0749613
sub-02,N,F4,alpha,0.02948534,0.065120965
sub-02,N,F4,beta,0.0096648,0.14173937
sub-02,N,F4,delta,-0.00042608194,0.056647204
sub-02,N,F4,gamma,0.107687905,0.22329919
sub-02,N,F4,theta,0.003969193,0.046858273
sub-02,N,F7,alpha,-0.12184026,0.17266788
sub-02,N,F7,beta,-0.25112116,0.2766136
sub-02,N,F7,delta,-0.0039373725,0.12963274
sub-02,N,F7,gamma,-0.15125242,0.24226065
sub-02,N,F7,theta,-0.2218155,0.27816388
sub-02,N,F8,alpha,0.014142765,0.09773043
sub-02,N,F8,beta,-0.2495969,0.30516258
sub-02,N,F8,delta,-0.07119355,0.10919414
sub-02,N,F8,gamma,0.13016883,0.23331101
sub-02,N,F8,theta,-0.047185957,0.10335872
sub-02,N,Fp1,alpha,-0.10781641,0.16694838
sub-02,N,Fp1,beta,-0.044429142,0.14973854
sub-02,N,Fp1,delta,0.12746578,0.15765391
sub-02,N,Fp1,gamma,-0.107336365,0.1507318
sub-02,N,Fp1,theta,0.0348177,0.09512091
sub-02,N,Fp2,alpha,-0.09841884,0.14038491
sub-02,N,Fp2,beta,0.032712985,0.21345402
sub-02,N,Fp2,delta,0.10682578,0.13024464
sub-02,N,Fp2,gamma,-0.09586461,0.19437882
sub-02,N,Fp2,theta,-0.039697513,0.071451195
sub-02,N,Fz,alpha,-0.044861984,0.12960953
sub-02,N,Fz,beta,-0.023033297,0.14208744
sub-02,N,Fz,delta,-0.053185128,0.12294891
sub-02,N,Fz,gamma,-0.12964882,0.21751408
sub-02,N,Fz,theta,0.0592078,0.10406113
sub-02,N,O1,alpha,-0.17118879,0.205834
sub-02,N,O1,beta,0.01651807,0.15279165
sub-02,N,O1,delta,0.077168375,0.09984883
sub-02,N,O1,gamma,-0.28891638,0.37643966
sub-02,N,O1,theta,0.027019368,0.08178759
sub-02,N,O2,alpha,-0.17017049,0.19847392
sub-02,N,O2,beta,-0.029982673,0.15220343
sub-02,N,O2,delta,0.35670725,0.3672991
sub-02,N,O2,gamma,-0.055985402,0.16784166
sub-02,N,O2,theta,0.17302649,0.20103136
sub-02,N,P3,alpha,-0.058919914,0.13192958
sub-02,N,P3,beta,-0.03236535,0.10559529
sub-02,N,P3,delta,0.006048518,0.10861093
sub-02,N,P3,gamma,0.14268354,0.22183165
sub-02,N,P3,theta,-0.040802047,0.14457133
sub-02,N,P4,alpha,-0.011699892,0.109531835
sub-02,N,P4,beta,-0.18192638,0.21173716
sub-02,N,P4,delta,0.010529886,0.103116184
sub-02,N,P4,gamma,0.08418652,0.14052117
sub-02,N,P4,theta,-0.04104946,0.12497697
sub-02,N,Pz,alpha,-0.03516759,0.12866928
sub-02,N,Pz,beta,-0.009788258,0.09921982
sub-02,N,Pz,delta,-0.0925294,0.14259039
sub-02,N,Pz,gamma,0.040371682,0.18785954
sub-02,N,Pz,theta,-0.13167827,0.15996927
sub-03,N,C3,alpha,-0.07348169,0.17278402
sub-03,N,C3,beta,0.060876347,0.097910665
sub-03,N,C3,delta,0.122484095,0.1336629
sub-03,N,C3,gamma,-0.023196679,0.090059415
sub-03,N,C3,theta,0.051256187,0.07173875
sub-03,N,C4,alpha,-0.06638708,0.1655514
sub-03,N,C4,beta,-0.029871022,0.10637995
sub-03,N,C4,delta,0.01791009,0.07161927
sub-03,N,C4,gamma,-0.012368678,0.08428919
sub-03,N,C4,theta,0.018183682,0.06194834
sub-03,N,Cz,alpha,0.06868213,0.19358389
sub-03,N,Cz,beta,0.05984109,0.17314194
sub-03,N,Cz,delta,0.0319943,0.09386435
sub-03,N,Cz,gamma,0.082041524,0.15654242
sub-03,N,Cz,theta,-0.038633946,0.09053362
sub-03,N,F3,alpha,-0.049634933,0.16828059
sub-03,N,F3,beta,0.022176052,0.08438445
sub-03,N,F3,delta,-0.030275308,0.08157991
sub-03,N,F3,gamma,0.010484342,0.08657062
sub-03,N,F3,theta,0.023774326,0.061838545
sub-03,N,F4,alpha,-0.09058177,0.20122184
sub-03,N,F4,beta,-0.018479563,0.10771259
sub-03,N,F4,delta,-0.011567725,0.09273647
sub-03,N,F4,gamma,0.013255898,0.07527661
sub-03,N,F4,theta,0.008075632,0.07787233
sub-03,N,F7,alpha,-0.15027876,0.27040967
