channel,band,A+P+,A+P-,N,A+P+_minus_N,A+P+_minus_A+P-
C3,alpha,-0.018697957,-0.02341387,-0.020376751,0.0016787946,0.004715914
C3,beta,0.064405836,0.062129773,0.066044405,-0.0016385689,0.002276063
C3,delta,0.16550842,0.15464793,0.15984336,0.005665064,0.010860488
C3,gamma,-0.042046312,-0.0432205,-0.040851194,-0.0011951178,0.0011741892
C3,theta,0.098533586,0.08931644,0.0857544,0.012779184,0.009217143
C4,alpha,-0.045530383,-0.04922989,-0.048823368,0.0032929853,0.0036995076
C4,beta,-0.037184775,-0.038583122,-0.037211843,2.706796e-05,0.0013983473
C4,delta,0.0016606528,0.0030153187,0.004303313,-0.00264266,-0.0013546658
C4,gamma,0.011171036,0.0064295675,0.010753725,0.00041731168,0.004741469
C4,theta,0.078558415,0.07857692,0.06486984,0.013688572,-1.8507242e-05
Cz,alpha,0.06405594,0.06116933,0.06394319,0.000112749636,0.002886612
Cz,beta,0.081348136,0.06936861,0.07795783,0.0033903047,0.011979528
Cz,delta,0.021855054,0.026798343,0.02768732,-0.005832266,-0.004943289
Cz,gamma,0.046405684,0.051116847,0.052579265,-0.006173581,-0.0047111623
Cz,theta,-0.045449115,-0.047295168,-0.046471145,0.0010220297,0.0018460527
F3,alpha,-0.05850671,-0.060022328,-0.060291454,0.0017847456,0.0015156195
F3,beta,0.03124189,0.028226787,0.032445822,-0.0012039319,0.0030151028
F3,delta,-0.063055895,-0.0600663,-0.05330598,-0.009749915,-0.002989594
F3,gamma,-0.007596873,-0.007513967,-0.005424151,-0.002172722,-8.2906336e-05
F3,theta,0.06244273,0.047267746,0.04699875,0.015443981,0.015174985
F4,alpha,-0.03315863,-0.046998978,-0.042814936,0.009656306,0.0138403475
F4,beta,-0.013797584,-0.013452755,-0.009626052,-0.0041715316,-0.0003448287
F4,delta,-0.044019934,-0.037353866,-0.034808874,-0.00921106,-0.006666068
F4,gamma,0.021070763,0.02434051,0.03314141,-0.012070648,-0.003269747
F4,theta,0.058612067,0.044237275,0.04285088,0.015761185,0.014374793
F7,alpha,-0.13645025,-0.13509066,-0.13675278,0.00030253828,-0.001359582
F7,beta,-0.20110601,-0.21088797,-0.20898505,0.007879034,0.009781957
F7,delta,-0.002177079,-0.01056473,-0.007116408,0.004939329,0.00838765
F7,gamma,-0.094653584,-0.100601524,-0.10667674,0.012023158,0.00594794
F7,theta,-0.19171299,-0.21524288,-0.21654871,0.02483572,0.023529887
F8,alpha,0.0018016263,-0.0051454203,-0.002279562,0.0040811882,0.0069470466
F8,beta,-0.17046675,-0.18072625,-0.17612524,0.0056584924,0.010259494
F8,delta,-0.07554043,-0.07639252,-0.07778116,0.0022407323,0.00085208565
F8,gamma,0.035103932,0.02727564,0.032444004,0.002659928,0.0078282915
F8,theta,-0.009944109,-0.026409447,-0.031069733,0.021125624,0.016465338
Fp1,alpha,-0.09513605,-0.099149205,-0.0939076,-0.0012284443,0.0040131584
Fp1,beta,-0.021488475,-0.032925587,-0.028318325,0.0068298504,0.011437112
Fp1,delta,0.11430874,0.106987745,0.10924056,0.0050681755,0.0073209926
Fp1,gamma,-0.08541699,-0.09016164,-0.09229035,0.0068733618,0.004744649
Fp1,theta,0.030505352,0.02780012,0.024294492,0.00621086,0.0027052313
Fp2,alpha,-0.123935066,-0.14094658,-0.13046573,0.006530665,0.017011516
Fp2,beta,0.032134768,0.025290858,0.030786635,0.0013481323,0.0068439096
Fp2,delta,0.12392837,0.11789136,0.12108684,0.0028415248,0.0060370117
Fp2,gamma,-0.07059261,-0.07417437,-0.06911183,-0.0014807805,0.0035817549
Fp2,theta,-0.053535704,-0.051672667,-0.05036166,-0.0031740442,-0.0018630363
Fz,alpha,-0.07265406,-0.08537368,-0.08502127,0.012367211,0.012719616
Fz,beta,-0.034032762,-0.03587682,-0.031530786,-0.0025019757,0.0018440597
Fz,delta,-0.04902101,-0.045344364,-0.040536903,-0.0084841065,-0.0036766455
Fz,gamma,-0.05275792,-0.05204424,-0.05035144,-0.002406478,-0.00071367994
Fz,theta,0.07985275,0.058752064,0.06629176,0.013560995,0.021100689
O1,alpha,-0.17712314,-0.1843639,-0.18711576,0.009992614,0.0072407573
O1,beta,-0.015546731,-0.019048601,-0.018604064,0.0030573336,0.0035018707
O1,delta,0.09110172,0.08264567,0.084275216,0.006826505,0.008456051
O1,gamma,-0.2050687,-0.18869723,-0.19697909,-0.008089602,-0.016371459
O1,theta,0.018711887,0.013649249,0.015032891,0.003678996,0.005062638
