model,term,coef,ci_low,ci_high,p_value
reference_N,Intercept,0.3574963515766373,0.3003556186975286,0.414637084455746,1.442452204976503e-34
reference_N,"C(group, Treatment(reference=""N""))[T.A+P-]",-0.009474575527758215,-0.07757395007349982,0.0586247990179834,0.7850936857480916
reference_N,"C(group, Treatment(reference=""N""))[T.A+P+]",0.08845660812858322,0.0030775285502907535,0.17383568770687569,0.04229439016693777
reference_N,age_centered,-0.001785389140548215,-0.011555644803339581,0.00798486652224315,0.7202248322411313
reference_N,sex,-0.05652404729607923,-0.12009109102199408,0.007042996429835628,0.08136731067776556
reference_A+P-,Intercept,0.3480217760488788,0.2878600477703415,0.40818350432741607,8.512334932421631e-30
reference_A+P-,"C(group_apm_reference, Treatment(reference=""A+P-""))[T.N]",0.00947457552775827,-0.058624799017983426,0.07757395007349996,0.7850936857480906
reference_A+P-,"C(group_apm_reference, Treatment(reference=""A+P-""))[T.A+P+]",0.09793118365634135,0.012316794180984456,0.18354557313169823,0.02496580259967876
reference_A+P-,age_centered,-0.0017853891405482441,-0.011555644803339614,0.007984866522243127,0.7202248322411271
reference_A+P-,sex,-0.05652404729607939,-0.12009109102199422,0.007042996429835441,0.08136731067776462
